Data Name	Type	Date	Growth	TimePoint	??C	Mutant	Media	MediaGrowthProperties	Strain used	Strain array	Reference	ArrayExpressId	ArrayExpressTechnoID
16h_EGDe_UGiessen_2008	Transcription Profiling	14/01/16		45, 6h, 9h, 12h, 18h, 24h, 32h, 42h	28		Brain Heart Infusion Broth		Yersinia Pestis CO92	Rhesus Macaque	Hammamieh R, Muhie S, Borschel R, Gautam A et al. Temporal Progression of Pneumonic Plague in Blood of Nonhuman Primate: A Transcriptomic Analysis. PLoS One 2016;11(3):e0151788. PMID: 27003632	E-GEOD-63560	A-GEOD-9861
20min_pH3,5_25C_ScottA_Tasmania_2010	Expression profiling by high throughput sequencing	13/07/15			N/A		N/A	N/A	Yersinia Pestis	Mus musculus	Stasulli NM, Eichelberger KR, Price PA, Pechous RD et al. Spatially distinct neutrophil responses within the inflammatory lesions of pneumonic plague. MBio 2015 Oct 13;6(5):e01530-15. PMID: 26463167	E-GEOD-70819	N/A
24C_MinimalMediaGlucose_OperonBioTech_2014_EGDe	Expression profiling by high throughput sequencing	31/03/15		4h, 18h, 48h	N/A		RPMI (6-7j) + M-CSF (Macrophage Colony-Stimulating Factor). PBS + gentamycin (bacterial infection)	RPMI & M-CSF; PBS & Gentamycin	Yersinia Pseudotuberculosis et al	Homo Sapiens	Blischak JD, Tailleux L, Mitrano A, Barreiro LB et al. Mycobacterial infection induces a specific human innate immune response. Sci Rep 2015 Nov 20;5:16882. PMID: 26586179	E-GEOD-67427	N/A
24h_Biofilm_J0161_Agilent_2012	Expression profiling by high throughput sequencing	04/03/15			22 or 37	RfaH- & hfq-	LB	LB	Yersinia enterocolitica (6471/6476 or YeO3-hfq::Km)	Yersinia enterocolitica	Leskinen K, Varjosalo M, Li Z, Li CM et al. Expression of the Yersinia enterocolitica O:3 LPS O-antigen and outer core gene clusters is RfaH-dependent. Microbiology 2015 Jun;161(6):1282-94. PMID: 25767108 ; Leon-Velarde CG, Happonen L, Pajunen M, Leskinen K et al. Yersinia enterocolitica-Specific Infection by Bacteriophages TG1 and ?R1-RT Is Dependent on Temperature-Regulated Expression of the Phage Host Receptor OmpF. Appl Environ Microbiol 2016 Sep 1;82(17):5340-53. PMID: 27342557	E-GEOD-66516	N/A
24h_Broth_J0161_Agilent_2012	Non-coding RNA profiling by high throughput sequencing	18/02/15		4h, 18h, 48h	N/A		RPMI-1640 (5j) + 10% heat-inactivated FCS, L-glutamine, GM-CSF & IL-4 THEN complete medium with cytokines. Bacterium + Gentamycin (bacterial infection)	RPMI-1640 + 10% heat-inactivated FCS + L-glutamine + GM-CSF & IL-4. Complete medium + cytokines ;  Bacterium + Gentamycin (bacterial infection)	Yersinia Pseudotuberculosis et al	Homo Sapiens	Siddle KJ, Tailleux L, Deschamps M, Loh YH et al. bacterial infection drives the expression dynamics of microRNAs and their isomiRs. PLoS Genet 2015 Mar;11(3):e1005064. PMID: 25793259 ; PLOS Genetics Staff.. Correction: Bacterial Infection Drives the Expression Dynamics of microRNAs and Their isomiRs. PLoS Genet 2015 Jun;11(6):e1005321. PMID: 26076462	E-GEOD-64142	N/A
24h_CoCulture_Biofilm_J0161_Agilent_2012	RNA-seq of coding RNA 	05/12/14		0j, 2j, 42j	26 or 26 to 37		LB or new medium grown to calcium depleted medium	LB or new medium THEN Ca- medium	Yersinia Pseudotuberculosis YPIII	Yersinia Pseudotuberculosis YPIII	Avican K, Fahlgren A, Huss M, Heroven AK et al. Reprogramming of Yersinia from virulent to persistent mode revealed by complex in vivo RNA-seq analysis. PLoS Pathog 2015 Jan;11(1):e1004600. PMID: 25590628	E-GEOD-55292	A-GEOD-15095
24h_CoCulture_Broth_J0161_Agilent_2012	Transcription Profiling	05/12/14	Exponential Phase		25		LB + 10g/l glucose + 0.2M HEPES + aeration/anaerobic.	LB, glucose, HEPES	Yersinia Pseudotuberculosis YPIII	Yersinia Pseudotuberculosis YPIII	Avican K, Fahlgren A, Huss M, Heroven AK et al. Reprogramming of Yersinia from virulent to persistent mode revealed by complex in vivo RNA-seq analysis. PLoS Pathog 2015 Jan;11(1):e1004600. PMID: 25590628	E-GEOD-56475	A-GEOD-15095
24h_pH3,5_25C_ScottA_Tasmania_2010	Transcription Profiling	05/12/14	Stationary Phase		25		LB + 10g/l glucose + 0.2M HEPES + aeration/anaerobic.	LB, glucose, HEPES	Yersinia Pseudotuberculosis YPIII	Yersinia Pseudotuberculosis YPIII	Avican K, Fahlgren A, Huss M, Heroven AK et al. Reprogramming of Yersinia from virulent to persistent mode revealed by complex in vivo RNA-seq analysis. PLoS Pathog 2015 Jan;11(1):e1004600. PMID: 25590628	E-GEOD-56476	A-GEOD-15095
25C_701700_Tasmania_2013	RNA-seq of coding RNA 	23/10/14			22 or 37	ybeY-	LB	LB	Yersinia enterocolitica O:3	Yersinia enterocolitica subsp. palearctica Y11	Leskinen K, Varjosalo M, Skurnik M. Absence of YbeY RNase compromises the growth and enhances the virulence plasmid gene expression of Yersinia enterocolitica O:3. Microbiology 2015 Feb;161(Pt 2):285-99. PMID: 25416689	E-GEOD-62601	N/A
25C_ATCC19115_Tasmania_2013	Transcription Profiling	17/09/14	Exponential Phase	?	25	crp-	HAM's F-12 Nutrient Mixture + DMEM medium (Pre-cultures). Yersinia minimal medium (Second & main cultures).	HAM's F-12 Nutrient Mixture + DMEM medium ; YMM = 8 g glucose, 6.62 g KH2PO4, 13.26 g K2HPO4, 0.31 g NaCl, 5 g (NH4)2SO4, 0.20 g MgSO4·7H2O, 30 mg 3,4-dihydroxybenzoic acid, 0.5 mg FeSO4·7H2O, 0.5 mg ZnSO4·7H2O, 2 mg FeCl3·6H2O, 2 mg MnSO4·H2O, 0.8 mg ZnSO4·7H2O, 0.2 mg CuCl2·2H2O, 0.2 mg Na2B4O7·10H2O and 0.1 mg (NH4)6Mo7O24·4H2O.	Yersinia Pseudotuberculosis YPIII	Yersinia Pseudotuberculosis YPIII	Bücker R, Heroven AK, Becker J, Dersch P et al. The pyruvate-tricarboxylic acid cycle node: a focal point of virulence control in the enteric pathogen Yersinia pseudotuberculosis. J Biol Chem 2014 Oct 24;289(43):30114-32. PMID: 25164818	E-GEOD-54544	A-GEOD-15095
25C_ScottA_Tasmania_2010	Transcription Profiling	17/09/14	Exponential Phase	?	25	csrA-	HAM's F-12 Nutrient Mixture + DMEM medium (Pre-cultures). Yersinia minimal medium (Second & main cultures).	HAM's F-12 Nutrient Mixture + DMEM medium ; YMM = 8 g glucose, 6.62 g KH2PO4, 13.26 g K2HPO4, 0.31 g NaCl, 5 g (NH4)2SO4, 0.20 g MgSO4·7H2O, 30 mg 3,4-dihydroxybenzoic acid, 0.5 mg FeSO4·7H2O, 0.5 mg ZnSO4·7H2O, 2 mg FeCl3·6H2O, 2 mg MnSO4·H2O, 0.8 mg ZnSO4·7H2O, 0.2 mg CuCl2·2H2O, 0.2 mg Na2B4O7·10H2O and 0.1 mg (NH4)6Mo7O24·4H2O.	Yersinia Pseudotuberculosis YPIII	Yersinia Pseudotuberculosis YPIII	Bücker R, Heroven AK, Becker J, Dersch P et al. The pyruvate-tricarboxylic acid cycle node: a focal point of virulence control in the enteric pathogen Yersinia pseudotuberculosis. J Biol Chem 2014 Oct 24;289(43):30114-32. PMID: 25164818	E-GEOD-54545	A-GEOD-15095
25C_ScottA_Tasmania_2013	Transcription Profiling	17/09/14	Exponential Phase	?	25	rovA-	HAM's F-12 Nutrient Mixture + DMEM medium (Pre-cultures). Yersinia minimal medium (Second & main cultures).	HAM's F-12 Nutrient Mixture + DMEM medium ; YMM = 8 g glucose, 6.62 g KH2PO4, 13.26 g K2HPO4, 0.31 g NaCl, 5 g (NH4)2SO4, 0.20 g MgSO4·7H2O, 30 mg 3,4-dihydroxybenzoic acid, 0.5 mg FeSO4·7H2O, 0.5 mg ZnSO4·7H2O, 2 mg FeCl3·6H2O, 2 mg MnSO4·H2O, 0.8 mg ZnSO4·7H2O, 0.2 mg CuCl2·2H2O, 0.2 mg Na2B4O7·10H2O and 0.1 mg (NH4)6Mo7O24·4H2O.	Yersinia Pseudotuberculosis YPIII	Yersinia Pseudotuberculosis YPIII	Bücker R, Heroven AK, Becker J, Dersch P et al. The pyruvate-tricarboxylic acid cycle node: a focal point of virulence control in the enteric pathogen Yersinia pseudotuberculosis. J Biol Chem 2014 Oct 24;289(43):30114-32. PMID: 25164818	E-GEOD-54546	A-GEOD-15095
37C_10403S_CUFSL_2011	 Expression profiling by genome tiling array	21/09/13			28		minimal medium + glucose (ox +/-)	minimal medium & glucose	Yersinia intermedia strain ATCC 29909	Yersinia intermedia strain ATCC 29909	Babujee L, Balakrishnan V, Kiley PJ, Glasner JD et al. Transcriptome changes associated with anaerobic growth in Yersinia intermedia (ATCC29909). PLoS One 2013;8(10):e76567. PMID: 24116118	E-GEOD-50043	A-GEOD-17599
37C_Agilent_2012	Expression profiling by array	31/12/2012	Stationary Phase		25	crp-	LB	LB	Yersinia Pseudotuberculosis YPIII	Yersinia Pseudotuberculosis YPIII	Heroven AK, Sest M, Pisano F, Scheb-Wetzel M et al. Crp induces switching of the CsrB and CsrC RNAs in Yersinia pseudotuberculosis and links nutritional status to virulence. Front Cell Infect Microbiol 2012;2:158. PMID: 23251905	E-GEOD-42206	A-GEOD-15095
